habitation_id,habitation_name,district,latitude,longitude
281684,Moinabndha,Dhubri,25.68515359803648,89.90817399520394
281683,Bangtimari,Dhubri,25.683643430218424,89.92083665126673
281713,Ramvolapara,Dhubri,25.67988112324598,89.93356308932643
281682,Sreerampara,Dhubri,25.698422301284108,89.91480480995486
281681,Roghupara,Dhubri,25.698490913373245,89.90724849904242
281685,Fekamari Pt.II,Dhubri,25.69659272208563,89.89609497521596
281699,Pacherkandi,Dhubri,25.677603237857824,89.9007613121056
281686,Paglatola,Dhubri,25.68567158656532,89.89706386037051
281677,Kanaimara Pt.I,Dhubri,25.69195306934224,89.87888422644389
281687,Dayerchar,Dhubri,25.692532782573394,89.8874462512106
281678,Fekamari Pt.I,Dhubri,25.705298916484,89.87721140235193
281673,Assameralga,Dhubri,25.70397084876476,89.85962809321585
281676,Kanaimara Pt.II,Dhubri,25.68905411662241,89.8659606642128
281690,Uzan Jhagrarchar,Dhubri,25.66902756391724,89.86760193464829
281692,Uramari Pt.II,Dhubri,25.671856195528,89.86905043750478
281693,Uramari Pt.I,Dhubri,25.659556606983728,89.87373353450113
281694,Bowalia,Dhubri,25.65315924284804,89.87879678295732
281696,Charibari Pt.I,Dhubri,25.65404778180281,89.89016797890984
281691,Diara,Dhubri,25.66387964206673,89.8791476553512
281689,Changurchar,Dhubri,25.67702856112908,89.88003421413441
281688,Kathalbari,Dhubri,25.670498270046497,89.89176178566296
281697,Moishaldanga Pt.II,Dhubri,25.65422341830361,89.8995782681652
281703,Moishaldanga Pt.I,Dhubri,25.646349587196493,89.90289118862633
281704,Charbari Pt.II,Dhubri,25.64449133023324,89.89537334192462
281695,Kukurmara Pt.I,Dhubri,25.643913540499742,89.88445369471741
281705,Kukurmara Pt.II,Dhubri,25.633008201897653,89.8923107803157
281712,Domartola,Dhubri,25.613982185124502,89.90096845106612
281719,Pathuria,Dhubri,25.615686881442887,89.89245468243276
281722,Darua Kawahagi,Dhubri,25.59598424156592,89.90379155026268
281721,Jhowdanga Pt.I,Dhubri,25.59141222390348,89.88601947028343
281720,Jhowdanga Pt.II,Dhubri,25.60415878572416,89.88621705388985
281675,Kaliralga Pt.I,Dhubri,25.725350057290168,89.84144358333057
281665,Kokradanga Pt.I,Dhubri,25.733176778889582,89.84060589822492
281664,Boriralga,Dhubri,25.74304628547814,89.83462346344034
281663,Nepureralga,Dhubri,25.75223345242369,89.84068622446017
281502,Salapara Pt.II,Dhubri,25.81653616074352,89.82665339424209
281503,Salapara Pt.III,Dhubri,25.821278670720453,89.83686960751726
281506,Nilokhia Pt.III,Dhubri,25.79776627978104,89.84052677455529
281646,Dewaneralga Pt.I,Dhubri,25.77407863276875,89.84118258146381
281647,Dewaneralga Pt.II,Dhubri,25.77140051921616,89.85254649481112
281648,Dewaneralga Pt.III,Dhubri,25.76936034900097,89.86499740429761
281507,Nilokhia Pt.IV,Dhubri,25.807178579163946,89.86017809278854
281505,Nilokhia Pt.II,Dhubri,25.81526437832443,89.84935915032405
281517,Darogaralga Nc,Dhubri,25.799264797354898,89.87017697145328
281516,Fdimarichar No-3,Dhubri,25.79733735395552,89.8825434316925
281515,Bamundanga,Dhubri,25.82025377584236,89.87872414704778
281511,Barabangarchar Pt.III,Dhubri,25.82325553527768,89.89731633281927
281512,Barabangarchar Pt.IV,Dhubri,25.814160762040217,89.90091392428413
281643,Falimari,Dhubri,25.79989392230013,89.89996861321634
281645,Borobaloo,Dhubri,25.788718831075503,89.8991309498069
281649,Suckchar Pt.II,Dhubri,25.76779320035769,89.8789741682996
281651,Berabanga Pt.I,Dhubri,25.77846037875992,89.89116834124614
281650,Berabanga Pt.II,Dhubri,25.764233239810785,89.89462691479095
281658,Dakuamari,Dhubri,25.753633239525414,89.89124162336464
281657,Fattapara,Dhubri,25.752402256868333,89.89843293816607
281656,Malakhowa,Dhubri,25.748070427948104,89.90518457846451
281668,Fulerchar Pt.IV,Dhubri,25.7389793597994,89.89182055159931
281660,Maliralga Pt.III,Dhubri,25.75093150729352,89.87958008695756
281659,Suckchar Pt.I,Dhubri,25.753794912563748,89.88396588282195
281662,Maliralga Pt.I,Dhubri,25.74677975942731,89.85582208280417
281661,Maliralga Pt.II,Dhubri,25.74708855973913,89.86942016485322
281672,Kokradanga Pt.II,Dhubri,25.72658207798216,89.86578392698337
281666,Kokradanga Pt.III,Dhubri,25.73600747093594,89.86288585019392
281674,Kaliralga Pt.II,Dhubri,25.715359170488263,89.85555817896989
281671,Fulerchar Pt.II,Dhubri,25.7143898385054,89.88295031252659
281667,Fulerchar Pt.III,Dhubri,25.73220434548674,89.88004291584672
281669,Hatsingimari,Dhubri,25.72319163704353,89.89529170299998
281670,Bhimapara,Dhubri,25.71642088583405,89.89252610339057
281679,Fulerchar Pt.I,Dhubri,25.70732862502248,89.89554523142542
281680,Kharuabandha,Dhubri,25.708731770323222,89.90352579793615
281653,Gokulpur Tangnamari,Dhubri,25.76085917813497,89.91439242349422
281638,Khopati Pt.IV,Dhubri,25.762824050275785,89.93045441500338
281654,Chotoharipur,Dhubri,25.75574350695006,89.92536755095159
281655,Ferengichar,Dhubri,25.74677945123509,89.92053870531657
281478,Charkatdanga Pt.II,Dhubri,25.82488489163912,89.94877551420521
281635,Khopati Pt.I,Dhubri,25.809342962008767,89.94125946677475
281636,Khopati Pt.II,Dhubri,25.791360993881018,89.93710582734911
281640,Boalea Pt.II,Dhubri,25.794868772363053,89.91855243422016
281642,Gotabari,Dhubri,25.785105890686687,89.92318069563632
281637,Khopati Pt.III,Dhubri,25.775331565157764,89.93017542611979
281652,Bhutiadanga,Dhubri,25.767237319064325,89.90692847771555
281644,Boraitari,Dhubri,25.778563540707243,89.90902287716736
281641,Bramputra Borabanga,Dhubri,25.80521693246502,89.90988099153353
281639,Boalea Pt.I,Dhubri,25.80899901130843,89.92317251406276
281479,Bowalia,Dhubri,25.819234071086186,89.92460755584186
281513,Roshomari Pt.I,Dhubri,25.822694579286672,89.91107399769739
281480,Rashomari Pt.II,Dhubri,25.830677323204867,89.91687675531998
281475,Monirchar Pt.II,Dhubri,25.84338332031459,89.91456968443843
281474,Monirchar Pt.I,Dhubri,25.85316740941377,89.91314881105941
281494,Kathearalga Pt.II,Dhubri,25.86294921203609,89.9118129266563
281491,River Block No.9.N.C,Dhubri,25.88272594538893,89.90763757439973
281481,Sutramara Pt.I,Dhubri,25.87654504427299,89.91396933605255
281473,River Block No.13 N.C.,Dhubri,25.859796986557136,89.94443829695835
281486,River Block No.2.N.C,Dhubri,25.875322879609985,89.93775235592744
281625,Monirchar Madarchar,Dhubri,25.86764725282317,89.95742113488386
281631,Niz Monirchar,Dhubri,25.856323753582327,89.95942979679626
281472,River Block No 12 N.C,Dhubri,25.852925779685307,89.94767727136207
281471,Charmonirchar,Dhubri,25.84987408459211,89.9355218675003
281476,Katdanga,Dhubri,25.833651446439635,89.9322950593008
281477,Charkatdanga Pt.I,Dhubri,25.83469612420685,89.9433514919633
281632,Katdanga Satdubi Pt.I,Dhubri,25.831801318297416,89.95360480956602
281634,Katdanga Satdubi Pt.II,Dhubri,25.83429805680488,89.97058410308158
281633,Pata Kata,Dhubri,25.845259885612727,89.96583470509658
